#sn_name        z                zerr            bmag              bmagerr          s                serr            col               colerr              
snf200805140        0.0220950        0.0000100       15.9410000        0.0240000        0.8450000        0.0180000       -0.2040000        0.0320000
SDSS703        0.2960420        0.0000100              NaN              NaN              NaN              NaN              NaN              NaN
sn2005ed        0.0863410        0.0000100       18.7110004        0.0880000        0.9870000        0.0380000       -0.0870000        0.0330000
SDSS735        0.1908580        0.0000100       21.3269997        0.1070000        0.5690000        0.0740000        0.2510000        0.0740000
sn2005ef        0.1076380        0.0000100       19.2689991        0.0770000        0.8850000        0.0290000       -0.0260000        0.0310000
sn2005ei        0.1282510        0.0000100       19.6650009        0.0590000        1.1470000        0.0470000        0.0260000        0.0260000
sn2005eg        0.1913810        0.0000100       20.6590004        0.0350000        1.1030000        0.0340000       -0.0190000        0.0300000
sn2005ex        0.0933310        0.0000100       18.9729996        0.0770000        1.0740000        0.0380000       -0.0100000        0.0300000
SDSS822        0.2375560        0.0000100       21.4249992        0.0690000        0.9440000        0.0700000       -0.0200000        0.0530000
SDSS859        0.2782960        0.0000100       21.4169998        0.0460000        1.0730000        0.0610000        0.0180000        0.0500000
SDSS893        0.1101330        0.0000100              NaN              NaN        1.6000000       -0.0000000              NaN              NaN
SDSS911        0.2072640        0.0000100              NaN              NaN        1.6000000       -0.0000000              NaN              NaN
SDSS932        0.3913350        0.0000100       22.0489998        0.1200000        1.2060000        0.1310000       -0.0150000        0.0790000
SDSS986        0.2805780        0.0000100       21.8309994        0.0700000        0.9350000        0.1090000       -0.0300000        0.0670000
sn2005il        0.2261910        0.0000100              NaN              NaN              NaN              NaN              NaN              NaN
sn2005ez        0.1297550        0.0000100       20.2390003        0.0450000        0.7180000        0.0170000        0.0690000        0.0330000
sn2005fg        0.2576080        0.0000100              NaN              NaN        1.6000000       -0.0000000              NaN              NaN
sn2005fc        0.2978050        0.0000100              NaN              NaN              NaN              NaN              NaN              NaN
SDSS1158        0.4116250        0.0000100       22.3150005        0.1050000        0.8250000        0.1890000       -0.0620000        0.0860000
SDSS1166        0.3820770        0.0000100       22.1100006        0.0700000        1.1339999        0.1050000       -0.0860000        0.0560000
sn2005ff        0.0897900        0.0000100       19.1170006        0.0280000        0.9550000        0.0110000        0.0630000        0.0140000
sn2005fd        0.2630710        0.0000100       21.0930004        0.0720000        0.8740000        0.0460000       -0.0950000        0.0690000
sn2005fe        0.2171090        0.0000100       20.9139996        0.1110000        1.0310000        0.1480000       -0.1250000        0.0730000
SDSS1354        0.2494360        0.0000100       25.5370007        0.3900000        1.3099999        0.2900000        0.1050000        0.1580000
sn2005fh        0.1193430        0.0000100       19.0540009        0.0210000        1.0680000        0.0150000       -0.1250000        0.0150000
SDSS1385        0.3368790        0.0000100       21.9319992        0.0880000        0.8450000        0.1240000       -0.1450000        0.0780000
SDSS1395        0.1864040        0.0000100       20.7119999        0.0550000        0.8040000        0.0740000        0.0280000        0.0450000
SDSS1403        0.3613780        0.0000100       22.0860004        0.1350000        0.6360000        0.0770000       -0.0470000        0.0940000
SDSS1415        0.2118640        0.0000100       21.1410007        0.0630000        0.9710000        0.0460000        0.1420000        0.0500000
SDSS1457        0.3601870        0.0000100              NaN              NaN              NaN              NaN              NaN              NaN
SDSS1461        0.3411860        0.0000100       21.9759998        0.0600000        0.9650000        0.0510000        0.0550000        0.0580000
SDSS1478        0.2019590        0.0000100       20.8199997        0.1540000        1.1500000        0.1230000       -0.1200000        0.0650000
SDSS1504        0.3173690        0.0000100       21.7189999        0.0630000        0.7910000        0.0330000       -0.0960000        0.0780000
